X,Y
400747.1966,6404185.191
400813.7778,6413381.059
398289.2984,6417812.604
396666.6198,6428225.754
394276.4368,6439122.525
393443.3301,6446126.21
397307.6423,6453527.177
398647.5031,6457877.195
399025.8106,6461599.481
400395.0772,6463128.254
402187.9883,6463834.418
403924.2106,6463230.902
405380.2249,6462968.921
407585.6624,6448740.601
405001.7876,6444177.906
403233.8219,6441205.12
403377.5874,6433373.519
403763.1585,6429119.667
404292.2058,6424251.359
402833.5885,6418200.39
403916.9727,6412999.917
402935.6164,6402645.241
400747.1966,6404185.191
