# Easting,Northing,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21,t=22,t=23,t=24,t=25,t=26,t=27,t=32,t=37,t=42,t=47,t=52,t=57,t=62,t=67,t=72,t=77,t=82,t=87,t=92,t=97,t=102,t=107
 403275.00,6446238.00,-5.24148e-04,-8.86671e-03,-2.93856e-02,-6.40194e-02,-1.12404e-01,-1.70838e-01,-2.36018e-01,-3.05778e-01,-3.96295e-01,-5.24452e-01,-6.76259e-01,-8.34991e-01,-9.90043e-01,-1.14274e+00,-1.28930e+00,-1.40677e+00,-1.51283e+00,-1.61463e+00,-1.70706e+00,-1.81013e+00,-1.92019e+00,-2.02848e+00,-2.13472e+00,-2.23613e+00,-2.25935e+00,-2.22060e+00,-2.17140e+00,-1.93471e+00,-1.74080e+00,-1.57294e+00,-1.43044e+00,-1.31004e+00,-1.20774e+00,-1.12006e+00,-1.04418e+00,-9.77947e-01,-9.19634e-01,-8.67906e-01,-8.21729e-01,-7.80249e-01,-7.42754e-01,-7.08707e-01,-6.77737e-01
 402614.00,6448875.00,5.73058e-20,-2.47651e-13,-4.66249e-10,-2.38952e-08,-2.88520e-07,-1.68713e-06,-6.49586e-06,-1.91174e-05,-4.66217e-05,-9.93956e-05,-1.95943e-04,-3.82627e-04,-7.47121e-04,-1.41046e-03,-2.50659e-03,-4.16276e-03,-6.48917e-03,-9.56707e-03,-1.34376e-02,-1.81174e-02,-2.36079e-02,-2.99044e-02,-3.70135e-02,-4.49540e-02,-5.37478e-02,-6.34106e-02,-7.39220e-02,-1.33578e-01,-1.90628e-01,-2.37317e-01,-2.73176e-01,-2.99694e-01,-3.18736e-01,-3.31991e-01,-3.40826e-01,-3.46298e-01,-3.49213e-01,-3.50182e-01,-3.49667e-01,-3.48022e-01,-3.45519e-01,-3.42407e-01,-3.38740e-01
 402605.00,6448530.00,-9.28346e-18,-5.35050e-11,-2.10546e-08,-4.96585e-07,-3.77541e-06,-1.62478e-05,-5.01672e-05,-1.24525e-04,-2.64589e-04,-5.08243e-04,-9.72081e-04,-1.90940e-03,-3.65093e-03,-6.50837e-03,-1.07161e-02,-1.64267e-02,-2.37114e-02,-3.25117e-02,-4.27212e-02,-5.42531e-02,-6.70211e-02,-8.10106e-02,-9.62716e-02,-1.12847e-01,-1.30752e-01,-1.49923e-01,-1.69983e-01,-2.65282e-01,-3.36039e-01,-3.84059e-01,-4.15002e-01,-4.33768e-01,-4.44065e-01,-4.48516e-01,-4.48929e-01,-4.46550e-01,-4.42244e-01,-4.36617e-01,-4.30097e-01,-4.22993e-01,-4.15525e-01,-4.07879e-01,-4.00097e-01
 402545.00,6454379.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.70778e-20,-5.11267e-20,-3.77727e-19,-1.86353e-18,-1.26158e-17,-8.72467e-17,-5.05746e-16,-2.44502e-15,-1.01427e-14,-3.70111e-14,-1.21177e-13,-3.61689e-13,-9.97366e-13,-2.56996e-12,-6.24827e-12,-1.44484e-11,-3.19759e-11,-6.80467e-11,-1.80642e-09,-2.38530e-08,-1.82310e-07,-9.26855e-07,-3.48247e-06,-1.04012e-05,-2.59795e-05,-5.63062e-05,-1.08880e-04,-1.91922e-04,-3.13596e-04,-4.81299e-04,-7.01147e-04,-9.77664e-04,-1.31369e-03,-1.71041e-03
 401507.00,6461390.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.70207e-10,-6.66189e-10
 401448.00,6405679.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.22557e-28,-5.24661e-16
 400495.00,6422793.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.33300e-19,-3.30310e-13,-6.34782e-10,-3.34074e-08,-4.11395e-07,-2.42654e-06,-9.29017e-06,-2.68247e-05,-6.37159e-05,-1.31900e-04,-2.46070e-04,-4.24074e-04,-6.86311e-04,-1.05749e-03,-1.56638e-03,-2.24600e-03,-3.13110e-03,-4.25665e-03,-5.65250e-03,-7.34473e-03,-2.07031e-02,-4.17385e-02,-6.79033e-02,-9.61785e-02,-1.24289e-01,-1.50860e-01,-1.75192e-01,-1.97019e-01,-2.16327e-01,-2.33234e-01,-2.47925e-01,-2.60608e-01,-2.71494e-01,-2.80783e-01,-2.88660e-01,-2.95315e-01
 398447.00,6434075.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.14744e-26,3.81382e-27,-7.11353e-26,-2.37823e-25,-3.94916e-25,-2.56398e-25,5.49997e-25,-1.12429e-09,-4.56266e-09,-1.52745e-08,-4.28703e-08,-1.08205e-07,-2.45334e-07,-5.11211e-07,-9.92864e-07,-1.82112e-06,-3.17275e-06,-5.29343e-06,-4.22912e-05,-1.93951e-04,-6.12926e-04,-1.48591e-03,-2.97272e-03,-5.16432e-03,-8.07455e-03,-1.16548e-02,-1.58166e-02,-2.04519e-02,-2.54486e-02,-3.07002e-02,-3.61109e-02,-4.15982e-02,-4.70949e-02,-5.25381e-02
 402431.00,6458011.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.81436e-27,8.22658e-27,1.03552e-26,1.36703e-27,-2.63240e-26,-7.00084e-26,-9.96220e-26,-4.71909e-26,1.56468e-25,1.94696e-25,-2.03718e-24,-1.86985e-23,-1.16357e-22,-6.21711e-22,-2.95783e-21,-1.26668e-20,-4.92884e-20,-1.75942e-19,-3.72356e-17,-2.48981e-15,-7.88991e-14,-1.40920e-12,-1.57396e-11,-1.20139e-10,-6.75630e-10,-2.97192e-09,-1.07071e-08,-3.27329e-08,-8.72859e-08,-2.07501e-07,-4.47540e-07,-8.88360e-07,-2.01984e-06,-3.55337e-06
 402721.00,6414346.00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.24677e-27,1.12902e-26,1.14367e-26,-1.14350e-26,-5.52446e-26,-9.32519e-26,-5.17058e-26,2.55848e-26,-1.25530e-24,-1.55159e-23,-1.20262e-22,-3.22234e-19,-8.24675e-17,-5.26031e-15,-1.36652e-13,-1.91068e-12,-1.70329e-11,-1.07895e-10,-5.22578e-10,-2.03926e-09,-6.66749e-09,-1.88259e-08,-4.70146e-08,-1.05858e-07,-2.18263e-07,-4.17385e-07,-2.01654e-06
