ElementID, Easting, Northing,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21,t=22,t=23,t=24,t=25,t=26,t=27,t=32,t=37,t=42,t=47,t=52,t=57,t=62,t=67,t=72,t=77,t=82,t=87,t=92,t=97,t=102,t=107
_ECON_193,4.032750e+05,6.446238e+06,-3.693833e-03,-2.419634e-02,-6.206914e-02,-1.194879e-01,-1.918668e-01,-2.729976e-01,-3.592310e-01,-4.485976e-01,-5.582306e-01,-7.028467e-01,-8.628679e-01,-1.023420e+00,-1.176384e+00,-1.324833e+00,-1.462180e+00,-1.565377e+00,-1.653950e+00,-1.738973e+00,-1.850186e+00,-2.001901e+00,-2.159571e+00,-2.313818e+00,-2.463204e+00,-2.616888e+00,-2.695574e+00,-2.703623e+00,-2.690875e+00,-2.412421e+00,-2.075924e+00,-1.838131e+00,-1.655154e+00,-1.507675e+00,-1.386304e+00,-1.284999e+00,-1.199587e+00,-1.126850e+00,-1.064366e+00,-1.010232e+00,-9.629377e-01,-9.213107e-01,-8.845602e-01,-8.508826e-01,-8.212790e-01
_ECON_194,4.026140e+05,6.448875e+06,-2.228293e-19,-3.135677e-13,-5.687659e-10,-2.891154e-08,-3.484112e-07,-2.036581e-06,-7.840962e-06,-2.307440e-05,-5.626109e-05,-1.195061e-04,-2.346157e-04,-4.494072e-04,-8.531871e-04,-1.567901e-03,-2.728231e-03,-4.461993e-03,-6.879264e-03,-1.006394e-02,-1.405028e-02,-1.884928e-02,-2.446885e-02,-3.090289e-02,-3.815873e-02,-4.625256e-02,-5.522094e-02,-6.513130e-02,-7.601183e-02,-1.425840e-01,-2.215550e-01,-3.060837e-01,-3.873842e-01,-4.585112e-01,-5.172221e-01,-5.641007e-01,-6.007333e-01,-6.288476e-01,-6.499970e-01,-6.654947e-01,-6.764184e-01,-6.836445e-01,-6.878832e-01,-6.892617e-01,-6.894588e-01
_ECON_195,4.026050e+05,6.448530e+06,-7.989723e-17,-6.657574e-11,-2.539555e-08,-5.939548e-07,-4.501442e-06,-1.934012e-05,-5.964138e-05,-1.478733e-04,-3.138285e-04,-6.018453e-04,-1.130407e-03,-2.153312e-03,-4.002910e-03,-6.990937e-03,-1.135164e-02,-1.723513e-02,-2.470866e-02,-3.370957e-02,-4.411921e-02,-5.585601e-02,-6.883999e-02,-8.303767e-02,-9.849005e-02,-1.152407e-01,-1.333331e-01,-1.527464e-01,-1.731313e-01,-2.737920e-01,-3.609854e-01,-4.373992e-01,-5.035350e-01,-5.585860e-01,-6.027161e-01,-6.370899e-01,-6.632031e-01,-6.825090e-01,-6.962745e-01,-7.055639e-01,-7.112455e-01,-7.140253e-01,-7.144774e-01,-7.129338e-01,-7.103465e-01
208028_ECON_162,4.025450e+05,6.454379e+06,4.713447e-34,9.337195e-33,1.183279e-30,1.626842e-25,2.626263e-22,4.141840e-20,1.722201e-18,3.102033e-17,3.186793e-16,2.611747e-15,1.154608e-14,3.578011e-14,8.261120e-14,1.157138e-13,-1.020473e-13,-1.457519e-12,-6.534603e-12,-2.179700e-11,-4.656275e-10,-1.267959e-06,-2.543579e-05,-1.406735e-04,-4.929284e-04,-1.370142e-03,-3.148667e-03,-6.137564e-03,-1.051982e-02,-5.427619e-02,-1.266353e-01,-2.033474e-01,-2.676284e-01,-3.172407e-01,-3.541854e-01,-3.811079e-01,-4.002761e-01,-4.135295e-01,-4.222889e-01,-4.276462e-01,-4.304345e-01,-4.312894e-01,-4.306938e-01,-4.290231e-01,-4.265453e-01
20810076_ECON_159,4.015070e+05,6.461390e+06,5.071184e-78,1.374703e-77,3.839631e-77,9.721585e-77,2.375668e-76,5.636614e-76,1.298390e-75,2.908952e-75,6.347627e-75,5.782219e-28,8.018478e-28,1.375462e-27,1.772165e-27,1.974500e-27,1.765234e-27,7.245660e-28,-1.251322e-27,-2.049263e-27,-4.267846e-27,-1.322845e-26,-4.025625e-26,-9.846489e-26,-9.400973e-26,7.222067e-25,5.863637e-24,2.842371e-23,1.106324e-22,1.543373e-15,3.248865e-13,8.792704e-12,7.708231e-12,-1.442751e-09,-1.776465e-08,-1.142061e-07,-5.008569e-07,-1.681137e-06,-4.620445e-06,-1.087684e-05,-2.264534e-05,-4.269935e-05,-7.424502e-05,-1.207236e-04,-1.855973e-04
209003_ECON_161,4.014480e+05,6.405679e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.693758e-25,-5.198157e-16
20910037_ECON_130,4.004950e+05,6.422793e+06,1.811082e-64,3.659553e-64,8.099573e-64,1.564296e-63,2.935903e-63,5.439157e-63,9.752756e-63,-7.263102e-18,-3.113500e-13,-5.858801e-10,-3.047899e-08,-3.723025e-07,-2.183358e-06,-8.323776e-06,-2.395673e-05,-5.676268e-05,-1.172318e-04,-2.183513e-04,-3.760588e-04,-6.082052e-04,-9.363440e-04,-1.385753e-03,-1.986061e-03,-2.768098e-03,-3.762636e-03,-4.996988e-03,-6.496842e-03,-1.844699e-02,-3.760555e-02,-6.181234e-02,-8.826898e-02,-1.147874e-01,-1.400092e-01,-1.632251e-01,-1.841467e-01,-2.027338e-01,-2.190810e-01,-2.333495e-01,-2.457274e-01,-2.564069e-01,-2.655729e-01,-2.733967e-01,-2.799682e-01
GW011316_ECON_18,3.984470e+05,6.434075e+06,-1.768842e-46,-5.734096e-46,3.234822e-45,6.552166e-44,-1.292265e-39,-1.735019e-35,-1.737732e-32,-2.249136e-24,2.807543e-20,3.615697e-16,5.452079e-14,1.341378e-12,1.305806e-11,7.371698e-11,2.922420e-10,9.058947e-10,-3.827106e-09,-1.646960e-08,-5.586000e-08,-1.526586e-07,-3.743697e-07,-8.138276e-07,-1.624723e-06,-3.032626e-06,-5.374530e-06,-9.056122e-06,-1.464418e-05,-1.031662e-04,-4.314787e-04,-1.266429e-03,-2.882115e-03,-5.454000e-03,-9.019217e-03,-1.349981e-02,-1.874813e-02,-2.458866e-02,-3.084622e-02,-3.736213e-02,-4.400101e-02,-5.065242e-02,-5.722935e-02,-6.366680e-02,-6.984273e-02
GW011769_ECON_67,4.024310e+05,6.458011e+06,1.261999e-47,4.940918e-46,-1.737672e-45,-1.207276e-43,-4.680018e-42,-1.231367e-37,-2.516354e-34,-8.326561e-32,-8.192048e-30,2.480412e-23,1.301937e-22,3.152931e-22,5.309905e-22,5.406088e-22,5.281460e-23,-2.606577e-22,4.986866e-21,3.678706e-20,1.403670e-19,3.649065e-19,5.481268e-19,1.605918e-18,3.089811e-16,9.475056e-15,1.185298e-13,8.628789e-13,4.414267e-12,-2.991932e-08,-1.485076e-06,-1.783171e-05,-9.899601e-05,-3.449251e-04,-8.843723e-04,-1.832487e-03,-3.259077e-03,-5.180647e-03,-7.569284e-03,-1.036774e-02,-1.350367e-02,-1.690047e-02,-2.048434e-02,-2.418900e-02,-2.795567e-02
GW022488_ECON_112,4.027210e+05,6.414346e+06,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,-1.236083e-44,-1.318327e-44,-1.954410e-44,-1.925374e-44,-1.601975e-44,-1.144499e-44,-3.357258e-45,-3.426112e-25,-6.356973e-25,-8.675590e-25,-3.869323e-25,7.953568e-25,3.790604e-24,8.332001e-24,1.159987e-23,4.269908e-24,-2.926848e-23,-1.486183e-22,-2.293687e-19,-5.797326e-17,-3.654691e-15,-9.407706e-14,-1.305999e-12,-1.157881e-11,-7.305761e-11,-3.529426e-10,-1.375350e-09,-4.494465e-09,-1.269190e-08,-3.171376e-08,-7.146594e-08,-1.474979e-07,-2.823592e-07,-1.634254e-06
