# Easting,Northing,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21,t=22,t=23,t=24,t=25,t=26,t=27,t=32,t=37,t=42,t=47,t=52,t=57,t=62,t=67,t=72,t=77,t=82,t=87,t=92,t=97,t=102,t=107
 402977.31,6412021.38,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.43957e-25,-1.10324e-08
 401180.98,6412195.79,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-7.57575e-26,-2.53390e-08
 400465.93,6414497.88,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,4.80309e-26,6.28740e-26,4.27414e-27,-2.21811e-25,-4.35324e-25,-3.69059e-25,2.56736e-25,-1.24853e-24,-3.09314e-23,-2.78648e-22,-1.91157e-21,-3.62118e-18,-7.38317e-16,-4.00769e-14,-9.22546e-13,-1.17356e-11,-9.68892e-11,-5.75526e-10,-2.63796e-09,-9.81111e-09,-3.07476e-08,-8.36104e-08,-2.01894e-07,-4.41038e-07,-8.84852e-07,-1.65070e-06,-4.09048e-06
 403134.27,6414724.61,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.76436e-26,5.72254e-26,2.31151e-26,-1.50752e-25,-3.54603e-25,-3.81352e-25,7.87128e-26,-5.18599e-25,-1.90332e-23,-1.81541e-22,-1.27786e-21,-2.62431e-18,-5.65092e-16,-3.19106e-14,-7.56967e-13,-9.86080e-12,-8.30119e-11,-5.01268e-10,-2.33044e-09,-8.77584e-09,-2.78078e-08,-7.63631e-08,-1.86028e-07,-4.09626e-07,-8.27780e-07,-1.55440e-06,-3.79240e-06
 403866.76,6417166.23,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.50837e-22,1.05115e-21,2.73248e-21,-1.69193e-21,-6.32186e-20,-5.84435e-19,-4.35912e-18,-2.68569e-17,-1.38876e-16,-6.16942e-16,-2.40608e-15,-5.19983e-13,-2.37541e-11,-4.29161e-10,-4.22911e-09,-2.72015e-08,-1.27285e-07,-4.65518e-07,-1.40033e-06,-3.59904e-06,-8.13714e-06,-1.65563e-05,-3.08634e-05,-5.34710e-05,-8.70892e-05,-1.34591e-04,-1.99962e-04
 399210.24,6416520.94,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.03967e-22,1.78936e-22,9.82887e-22,5.35908e-22,-1.64104e-20,-1.68792e-19,-1.31849e-18,-8.46668e-18,-4.55140e-17,-2.09525e-16,-8.44225e-16,-2.07688e-13,-1.04243e-11,-2.02621e-10,-2.11950e-09,-1.43439e-08,-7.01921e-08,-2.67225e-07,-8.33586e-07,-2.21441e-06,-5.15974e-06,-1.07911e-05,-2.06285e-05,-3.65708e-05,-6.08326e-05,-9.58491e-05,-1.45470e-04
 398599.83,6418718.40,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.00056e-17,-1.89254e-16,-1.82337e-15,-1.33790e-14,-7.61882e-14,-3.53233e-13,-1.38622e-12,-4.73728e-12,-1.44075e-11,-3.96727e-11,-1.00298e-10,-4.02983e-09,-5.77126e-08,-4.42777e-07,-2.22714e-06,-8.23365e-06,-2.41002e-05,-5.88719e-05,-1.24766e-04,-2.36169e-04,-4.08217e-04,-6.55359e-04,-9.90184e-04,-1.42264e-03,-1.95965e-03,-2.60505e-03,-3.36002e-03
 402680.83,6419363.69,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-2.20382e-15,-2.31690e-14,-1.72584e-13,-9.69347e-13,-4.38480e-12,-1.66601e-11,-5.48543e-11,-1.60254e-10,-4.23226e-10,-1.02558e-09,-2.30799e-09,-5.87676e-08,-6.10971e-07,-3.66786e-06,-1.50824e-05,-4.69610e-05,-1.18473e-04,-2.54240e-04,-4.80999e-04,-8.23962e-04,-1.30393e-03,-1.93565e-03,-2.72732e-03,-3.68095e-03,-4.79322e-03,-6.05654e-03,-7.46019e-03
 401948.34,6420758.90,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-3.24828e-10,-1.44889e-09,-5.24840e-09,-1.58298e-08,-4.23302e-08,-1.01104e-07,-2.20628e-07,-4.46496e-07,-8.48933e-07,-1.52805e-06,-2.62538e-06,-2.34611e-05,-1.16537e-04,-3.92093e-04,-9.99522e-04,-2.08249e-03,-3.73954e-03,-6.00880e-03,-8.87351e-03,-1.22774e-02,-1.61411e-02,-2.03759e-02,-2.48926e-02,-2.96080e-02,-3.44477e-02,-3.93472e-02,-4.42503e-02
 403221.47,6421160.02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-1.67214e-10,-7.95150e-10,-3.03147e-09,-9.55927e-09,-2.64858e-08,-6.52789e-08,-1.46417e-07,-3.03535e-07,-5.89310e-07,-1.08078e-06,-1.88815e-06,-1.79540e-05,-9.30502e-05,-3.23364e-04,-8.45473e-04,-1.79712e-03,-3.27889e-03,-5.33649e-03,-7.96322e-03,-1.11130e-02,-1.47156e-02,-1.86894e-02,-2.29511e-02,-2.74216e-02,-3.20293e-02,-3.67114e-02,-4.14142e-02
