# Easting,Northing,t=1,t=2,t=3,t=4,t=5,t=6,t=7,t=8,t=9,t=10,t=11,t=12,t=13,t=14,t=15,t=16,t=17,t=18,t=19,t=20,t=21,t=22,t=23,t=24,t=25,t=26,t=27,t=32,t=37,t=42,t=47,t=52,t=57,t=62,t=67,t=72,t=77,t=82,t=87,t=92,t=97,t=102,t=107
 402977.31,6412021.38,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,8.96111e-22,-8.72441e-09
 401180.98,6412195.79,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,2.06275e-21,-2.00286e-08
 400465.93,6414497.88,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-5.46903e-44,-5.47160e-44,-7.75084e-44,-6.67683e-44,-3.91209e-44,-8.55746e-46,5.92564e-44,-2.90236e-24,-4.28354e-24,-4.07507e-24,3.14057e-24,1.48030e-23,3.69341e-23,5.89903e-23,4.82765e-23,-7.94289e-23,-4.90705e-22,-2.07487e-21,-2.92898e-18,-5.93173e-16,-3.19920e-14,-7.32522e-13,-9.27857e-12,-7.63619e-11,-4.52678e-10,-2.07294e-09,-7.70942e-09,-2.41768e-08,-6.58162e-08,-1.59150e-07,-3.48205e-07,-6.99727e-07,-1.30743e-06,-3.37724e-06
 403134.27,6414724.61,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,-5.16175e-44,-5.27101e-44,-7.58083e-44,-6.84856e-44,-4.63622e-44,-1.56166e-44,3.38484e-44,-2.35437e-24,-3.74501e-24,-4.10382e-24,9.94177e-25,1.00788e-23,2.88408e-23,5.06855e-23,5.11610e-23,-3.63951e-23,-3.35269e-22,-1.45501e-21,-2.10257e-18,-4.49176e-16,-2.51714e-14,-5.93382e-13,-7.69131e-12,-6.45059e-11,-3.88547e-10,-1.80397e-09,-6.79084e-09,-2.15262e-08,-5.91666e-08,-1.44314e-07,-3.18225e-07,-6.44041e-07,-1.21121e-06,-3.12468e-06
 403866.76,6417166.23,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,3.56306e-41,5.03308e-41,8.71346e-41,1.19082e-40,1.56400e-40,2.06756e-40,2.69842e-40,2.52817e-20,2.36927e-20,-1.54735e-20,-1.46165e-19,-3.23865e-19,-7.86669e-19,-3.56840e-18,-2.14616e-17,-1.14342e-16,-5.16180e-16,-2.02051e-15,-4.34153e-13,-1.97812e-11,-3.56782e-10,-3.51335e-09,-2.26081e-08,-1.05970e-07,-3.88622e-07,-1.17303e-06,-3.02630e-06,-6.86889e-06,-1.40292e-05,-2.62476e-05,-4.56282e-05,-7.45482e-05,-1.15540e-04,-1.72544e-04
 399210.24,6416520.94,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.76034e-41,2.56896e-41,4.50974e-41,6.30494e-41,8.45527e-41,1.13588e-40,1.50374e-40,1.20885e-20,1.49465e-20,3.56645e-21,-4.99046e-20,-1.32157e-19,-3.13909e-19,-1.17725e-18,-6.75983e-18,-3.71422e-17,-1.74448e-16,-7.07437e-16,-1.73198e-13,-8.66969e-12,-1.68213e-10,-1.75805e-09,-1.19005e-08,-5.83183e-08,-2.22566e-07,-6.96479e-07,-1.85680e-06,-4.34256e-06,-9.11538e-06,-1.74865e-05,-3.11029e-05,-5.18956e-05,-8.19980e-05,-1.25237e-04
 398599.83,6418718.40,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.01005e-38,1.24135e-38,2.01071e-38,2.43347e-38,2.81185e-38,3.32413e-38,3.88097e-38,-1.11773e-16,-8.99624e-17,-1.06308e-15,-1.04843e-14,-6.51029e-14,-3.04928e-13,-1.19124e-12,-4.05179e-12,-1.22926e-11,-3.38123e-11,-8.54276e-11,-3.42057e-09,-4.88888e-08,-3.74872e-07,-1.88796e-06,-7.00046e-06,-2.05750e-05,-5.04946e-05,-1.07520e-04,-2.04456e-04,-3.54911e-04,-5.72016e-04,-8.67354e-04,-1.25022e-03,-1.72727e-03,-2.30237e-03,-2.97250e-03
 402680.83,6419363.69,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,5.28177e-38,6.24588e-38,9.90879e-38,1.14873e-37,1.25841e-37,1.40875e-37,1.54379e-37,2.93275e-16,-1.42132e-14,-1.43728e-13,-8.46547e-13,-3.81404e-12,-1.43731e-11,-4.71192e-11,-1.37459e-10,-3.62824e-10,-8.78657e-10,-1.97568e-09,-5.01394e-08,-5.20464e-07,-3.12562e-06,-1.28849e-05,-4.02867e-05,-1.02150e-04,-2.20363e-04,-4.19016e-04,-7.21130e-04,-1.14599e-03,-1.70756e-03,-2.41394e-03,-3.26761e-03,-4.26617e-03,-5.40326e-03,-6.67446e-03
 401948.34,6420758.90,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.21304e-36,1.02621e-36,1.28295e-36,6.35320e-37,-4.92042e-37,-1.95359e-36,-4.03718e-36,-2.91798e-10,-1.27145e-09,-4.57528e-09,-1.37938e-08,-3.69142e-08,-8.80773e-08,-1.91879e-07,-3.87792e-07,-7.36738e-07,-1.32526e-06,-2.27554e-06,-2.02959e-05,-1.00919e-04,-3.40994e-04,-8.74680e-04,-1.83467e-03,-3.31551e-03,-5.35760e-03,-7.95058e-03,-1.10466e-02,-1.45753e-02,-1.84564e-02,-2.26085e-02,-2.69550e-02,-3.14269e-02,-3.59640e-02,-4.05847e-02
 403221.47,6421160.02,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,0.00000e+00,1.15738e-36,1.04399e-36,1.38062e-36,9.20744e-37,6.03719e-38,-1.05039e-36,-2.65580e-36,-1.51823e-10,-7.00602e-10,-2.64095e-09,-8.31549e-09,-2.30681e-08,-5.68252e-08,-1.27252e-07,-2.63418e-07,-5.10972e-07,-9.36498e-07,-1.63511e-06,-1.55171e-05,-8.04861e-05,-2.80827e-04,-7.38738e-04,-1.58080e-03,-2.90272e-03,-4.75135e-03,-7.12534e-03,-9.98614e-03,-1.32718e-02,-1.69088e-02,-2.08212e-02,-2.49362e-02,-2.91875e-02,-3.35168e-02,-3.79182e-02
 402645.95,6422241.31,1.70407e-67,3.73379e-67,8.78684e-67,1.82809e-66,3.68705e-66,7.28327e-66,1.40526e-65,-2.89481e-25,-1.31834e-22,-7.31266e-17,-8.99360e-14,-6.98357e-12,-1.37140e-10,-1.22990e-09,-6.74241e-09,-2.64883e-08,-4.07723e-07,-1.12565e-06,-2.71116e-06,-5.58774e-06,-1.11522e-05,-2.03396e-05,-3.48274e-05,-5.66350e-05,-8.95888e-05,-1.35601e-04,-1.98956e-04,-9.54348e-04,-2.95239e-03,-6.76051e-03,-1.25581e-02,-2.01403e-02,-2.90903e-02,-3.89419e-02,-4.92736e-02,-5.97448e-02,-7.00991e-02,-8.01546e-02,-8.97890e-02,-9.89259e-02,-1.07523e-01,-1.15561e-01,-1.22971e-01
 403256.35,6423427.24,1.99398e-65,4.20519e-65,9.61229e-65,1.93213e-64,3.77713e-64,7.31307e-64,1.42404e-63,2.96106e-21,-1.34580e-17,-7.56569e-13,-1.96660e-10,-6.13085e-09,-6.62859e-08,-3.90005e-07,-1.55802e-06,-4.77146e-06,-1.22934e-05,-2.70884e-05,-5.36771e-05,-9.76935e-05,-1.66625e-04,-2.68853e-04,-4.14879e-04,-6.17155e-04,-8.90758e-04,-1.25010e-03,-1.71175e-03,-6.08701e-03,-1.47727e-02,-2.77470e-02,-4.38787e-02,-6.17417e-02,-8.01252e-02,-9.81745e-02,-1.15355e-01,-1.31368e-01,-1.46077e-01,-1.59448e-01,-1.71510e-01,-1.82326e-01,-1.91978e-01,-2.00558e-01,-2.08014e-01
