MineID,X,Y,Name
1,399548.6554,6428488.418,Duralie
1,399129.1598,6429244.223,Duralie
1,399440.4284,6429267.326,Duralie
1,399837.9247,6428701.28,Duralie
1,400496.3327,6427142.972,Duralie
1,401223.8076,6426205.345,Duralie
1,400849.7983,6425931.761,Duralie
1,400572.0123,6425579.145,Duralie
1,400164.0184,6426714.784,Duralie
1,399264.3714,6428280.603,Duralie
1,399023.458,6428258.199,Duralie
1,398931.0403,6428457.261,Duralie
1,399533.6849,6428478.272,Duralie
2,402415.2684,6444843.929,Stratford - Main
2,402379.9342,6445325.002,Stratford - Main
2,403131.6378,6445408.612,Stratford - Main
2,403301.5701,6445303.247,Stratford - Main
2,403372.6323,6445097.602,Stratford - Main
2,403008.625,6444620.374,Stratford - Main
2,402407.3707,6444866.777,Stratford - Main
3,402709.4232,6446199.346,Stratford - Bowen
3,402914.0435,6446484.071,Stratford - Bowen
3,403136.2903,6446532.046,Stratford - Bowen
3,403199.943,6447105.857,Stratford - Bowen
3,402517.4453,6446999.979,Stratford - Bowen
3,402407.1727,6446486.86,Stratford - Bowen
3,402694.2124,6446183.916,Stratford - Bowen
4,401633.4188,6444706.489,Stratford - Roseville
4,402090.7001,6445857.15,Stratford - Roseville
4,401954.7891,6446413.725,Stratford - Roseville
4,401816.3509,6446435.317,Stratford - Roseville
4,401493.941,6445629.767,Stratford - Roseville
4,401594.9403,6445508.475,Stratford - Roseville
4,401408.1045,6444979.393,Stratford - Roseville
4,401625.7413,6444706.414,Stratford - Roseville
