MineID,Time (years),Flow rate (m3/yr),Name
1,7,713275.5418,Duralie
1,8,713275.5418,Duralie
1,9,758024.7678,Duralie
1,10,265783.2817,Duralie
1,11,1090253.87,Duralie
1,12,1091609.907,Duralie
1,13,772941.1765,Duralie
1,14,378334.3653,Duralie
1,15,3254489.164,Duralie
1,16,2091009.288,Duralie
1,17,669882.3529,Duralie
1,18,669882.3529,Duralie
1,19,814803.9512,Duralie
1,20,348622.5861,Duralie
1,21,383079.4696,Duralie
1,22,393213.8471,Duralie
1,23,238157.8713,Duralie
1,24,326326.9556,Duralie
1,25,26349.38151,Duralie
1,26,0,Duralie
2,0,218000,Stratford - Main
2,1,218000,Stratford - Main
2,2,326000,Stratford - Main
2,3,326000,Stratford - Main
2,4,304000,Stratford - Main
2,5,304000,Stratford - Main
2,6,304000,Stratford - Main
2,7,326000,Stratford - Main
2,8,357700,Stratford - Main
2,9,204400,Stratford - Main
2,10,175200,Stratford - Main
2,11,156950,Stratford - Main
2,12,200750,Stratford - Main
2,13,130011.8806,Stratford - Main
2,14,80300,Stratford - Main
2,15,32850,Stratford - Main
2,16,87048.4835,Stratford - Main
2,17,77161.42863,Stratford - Main
2,18,0,Stratford - Main
3,8,36771.26342,Stratford - Bowen
3,9,81525.86335,Stratford - Bowen
3,10,98899.08742,Stratford - Bowen
3,11,113501.715,Stratford - Bowen
3,12,113864.9453,Stratford - Bowen
3,13,126543.2256,Stratford - Bowen
3,14,123231.6479,Stratford - Bowen
3,15,85938.72409,Stratford - Bowen
3,16,117454.7418,Stratford - Bowen
3,17,107523.873,Stratford - Bowen
3,18,105850,Stratford - Bowen
3,19,146000,Stratford - Bowen
3,20,146000,Stratford - Bowen
3,21,153300,Stratford - Bowen
3,22,156950,Stratford - Bowen
3,23,156950,Stratford - Bowen
3,24,0,Stratford - Bowen
4,12,69350,Stratford - Roseville
4,13,124100,Stratford - Roseville
4,14,116800,Stratford - Roseville
4,15,116800,Stratford - Roseville
4,16,200750,Stratford - Roseville
4,17,189800,Stratford - Roseville
4,18,189800,Stratford - Roseville
4,19,167794.2029,Stratford - Roseville
4,20,118281.1594,Stratford - Roseville
4,21,134785.5072,Stratford - Roseville
4,22,137536.2319,Stratford - Roseville
4,23,132034.7826,Stratford - Roseville
4,24,137536.2319,Stratford - Roseville
4,25,126533.3333,Stratford - Roseville
4,26,121031.8841,Stratford - Roseville
4,27,118281.1594,Stratford - Roseville
4,28,126533.3333,Stratford - Roseville
4,29,0,Stratford - Roseville
