# FaultID,X,Y,Top Coal Seam
 1, 400523.23,6438995.67, 9
 1, 400523.94,6439638.01, 9
 2, 402630.76,6442890.96, 9
 2, 402627.70,6443485.48, 9
 3, 402728.71,6447161.69, 8
 3, 402524.53,6448467.30, 8
 4, 400457.98,6444461.95, 1
 4, 400524.19,6445009.01, 1
 5, 399776.86,6447022.23, 8
 5, 399928.14,6447846.03, 8
 6, 401721.69,6441295.38, 4
 6, 401819.84,6442557.06, 4
 7, 400795.19,6447059.15, 8
 7, 400557.58,6448062.29, 8
 8, 402658.71,6449752.26, 1
 8, 403046.68,6450757.49, 1
 9, 403324.64,6455861.66, 3
 9, 403283.09,6456706.43, 3
10, 402860.18,6454347.93, 7
10, 402434.48,6455922.73, 7
11, 401255.58,6449621.44, 4
11, 401057.75,6450206.00, 4
12, 402410.62,6445434.38, 1
12, 402367.00,6445996.65, 1
13, 402410.89,6448056.27, 6
13, 402543.82,6448784.42, 6
14, 403116.64,6453831.82, 9
14, 403454.43,6454900.78, 9
15, 400758.75,6445793.79, 6
15, 401194.82,6446880.73, 6
16, 398317.45,6443169.38,10
16, 398231.86,6443693.60,10
17, 402343.97,6453480.86, 2
17, 402549.60,6454062.45, 2
18, 400219.44,6441332.06,10
18, 400255.74,6441897.46,10
19, 400359.93,6439196.33, 2
19, 400179.11,6440157.14, 2
20, 401858.50,6454791.38, 9
20, 401978.06,6455504.92, 9
21, 402359.74,6443070.72,10
21, 401918.88,6444243.67,10
22, 398554.50,6448618.19, 4
22, 398452.35,6450370.73, 4
23, 403428.78,6450719.54, 9
23, 403134.68,6451724.72, 9
24, 398541.22,6441523.65, 7
24, 398780.44,6442114.67, 7
25, 402599.03,6446933.32, 3
25, 402772.00,6447469.09, 3
26, 400789.79,6455330.47, 7
26, 400581.29,6456076.08, 7
27, 400546.42,6444945.11, 1
27, 400284.36,6445826.18, 1
28, 400214.75,6450852.78, 4
28, 400094.59,6451920.11, 4
29, 404441.48,6452298.36, 2
29, 404404.18,6453349.41, 2
30, 400151.53,6446638.32, 2
30, 400023.41,6447199.84, 2
31, 401563.50,6452624.87, 1
31, 401343.76,6453378.54, 1
32, 399772.25,6438151.96, 4
32, 399363.16,6439503.02, 4
33, 400573.71,6437681.05, 4
33, 400355.60,6438800.26, 4
34, 399344.05,6438083.82, 4
34, 399398.44,6438676.22, 4
35, 402413.55,6445713.19, 8
35, 402654.69,6446303.56, 8
36, 397648.45,6443835.28, 8
36, 397655.25,6444899.77, 8
37, 401375.07,6456172.62, 5
37, 401659.92,6457006.02, 5
38, 399789.92,6444614.81, 4
38, 399831.17,6445625.14, 4
39, 399094.48,6442112.76, 6
39, 398800.51,6442843.70, 6
40, 400276.35,6452344.93, 7
40, 400490.97,6452876.73, 7
